Date,rv_true,garch_rv,har_rv
2025-02-03,6.62328458829454e-05,2.2912778339900344e-05,1.8795948793529676e-05
2025-02-04,4.5097242634939245e-05,2.206770516464494e-05,2.2644796525073996e-05
2025-02-05,1.7462013508947453e-05,2.1968159109370485e-05,2.4440939465329068e-05
2025-02-06,9.29977946128678e-06,2.1123155907195385e-05,2.3048309253027012e-05
2025-02-07,3.848837967169854e-05,2.0236166360929885e-05,2.1534619626570594e-05
2025-02-10,7.847532108378238e-06,2.0727373783547052e-05,2.3702926473308046e-05
2025-02-11,2.692135148773797e-05,1.9934310392838455e-05,1.909747584859202e-05
2025-02-12,4.250103201764807e-05,2.0325257759217304e-05,1.850264238615207e-05
2025-02-13,2.9355020497518944e-05,1.9620744277349904e-05,2.096664053531727e-05
2025-02-14,1.478521205952059e-05,2.161933142588078e-05,2.2200193235218626e-05
2025-02-17,5.091804726813763e-06,2.0894150224320214e-05,1.993281689190754e-05
2025-02-18,8.574028989864289e-06,1.9959721064258893e-05,1.8967591954214765e-05
2025-02-19,1.2094064203308868e-05,1.9623849690266784e-05,1.794939495440443e-05
2025-02-20,2.432511173799009e-05,1.8941631123722487e-05,1.4659320723266495e-05
2025-02-21,1.0231226329134036e-05,2.055998552553202e-05,1.4502216611726693e-05
